ID,YEAR,AGE,SEX,DEGREE,REGION,PersIncomeAdj,MARITAL,EDUC,CLASS_,BORN,PRESTG10,SEI10,FINRELA,SATFIN,UNEMP,JOBLOSE,JobFind
7571,1977,63,2,0,1,39597.34131,3,8,2,1,39,38.1,1,3,2,4,3
7572,1977,44,2,1,1,47504.15024,1,15,2,1,48,26.1,4,3,2,4,2
7574,1977,28,2,4,4,45022.52634,5,19,3,1,74,84.5,4,1,1,4,2
7575,1977,52,2,1,4,17482.098,2,12,3,1,25,12.6,3,1,2,4,1
7576,1977,31,1,1,4,92314.67593,5,12,3,1,48,57.5,3,2,1,4,3
7580,1977,31,1,4,4,17482.098,1,20,3,1,52,67.8,4,1,1,4,2
7581,1977,25,2,1,4,67578.78204,1,13,3,1,46,52,4,1,2,3,2
7584,1977,31,2,1,5,58577.86692,1,12,3,1,47,38.8,3,2,2,4,2
7585,1977,27,1,3,5,58577.86692,1,16,2,1,62,50.4,2,2,2,4,2
7586,1977,63,1,4,5,187434.5805,2,19,4,1,56,85,5,2,2,4,1
7587,1977,22,1,1,5,46939.4314,5,12,2,1,42,37,3,2,2,4,3
7588,1977,29,1,1,5,85914.89975,1,10,2,1,49,45.4,4,2,2,4,1
7589,1977,38,2,1,5,2262.015681,1,12,3,1,48,26.1,4,2,2,4,1
7590,1977,50,1,1,5,85914.89975,1,15,2,1,36,44.6,4,1,1,4,3
7591,1977,37,1,4,5,187434.5805,3,18,3,1,65,80.7,3,2,2,4,3
7592,1977,24,1,1,5,70456.05526,1,13,3,1,45,59.8,2,2,1,4,3
7595,1977,56,2,1,5,110755.3761,2,12,3,1,51,78.3,4,2,2,4,1
7596,1977,46,1,0,5,551853.646,1,3,2,1,35,32,1,1,2,4,3
7597,1977,45,1,2,5,70456.05526,5,15,2,1,59,69.3,3,2,1,3,3
7599,1977,48,1,1,5,70456.05526,1,11,2,1,28,18.8,3,1,2,4,1
7604,1977,53,2,1,5,85914.89975,1,10,3,1,38,52.1,3,2,2,4,3
7606,1977,46,2,0,5,39126.61687,3,4,2,1,38,25.4,3,2,2,4,3
7608,1977,40,2,1,5,10335.4311,1,12,2,1,24,14.6,3,2,1,4,1
7612,1977,28,1,0,5,28582.70506,5,15,2,2,38,27,3,2,1,2,3
7613,1977,45,1,1,5,96245.11883,3,12,2,1,35,32,3,3,2,4,3
7615,1977,58,2,1,5,58577.86692,1,12,3,1,64,84.2,4,1,2,4,1
7616,1977,50,2,1,2,47504.15024,1,13,3,1,47,38.8,4,2,2,4,1
7617,1977,43,1,1,5,123785.4204,1,14,3,1,72,77.4,3,2,2,4,1
7620,1977,27,1,1,5,70456.05526,1,12,2,1,28,25.2,3,2,2,4,2
7621,1977,26,2,3,5,23469.7157,1,16,3,1,31,39.7,3,1,1,4,1
7622,1977,26,1,3,5,58577.86692,1,17,3,1,64,82.5,4,1,2,4,1
7623,1977,49,1,1,5,110755.3761,1,15,3,1,62,50.4,4,2,2,4,1
7624,1977,24,2,1,5,23469.7157,5,12,2,1,31,39.7,2,1,2,3,3
7625,1977,39,1,3,5,85914.89975,1,16,2,1,64,82.5,3,2,2,4,2
7628,1977,36,1,1,5,96245.11883,1,13,2,1,63,63.1,4,2,2,4,2
7629,1977,49,2,3,5,46939.4314,1,16,2,1,17,45.3,4,3,2,4,2
7630,1977,30,1,0,5,70456.05526,1,6,2,1,33,27.6,3,3,1,4,3
7635,1977,25,2,1,5,28582.70506,1,13,3,1,47,38.8,3,1,2,3,1
7639,1977,59,2,0,5,39126.61687,1,8,2,1,42,26.5,1,3,2,4,1
7640,1977,26,2,1,5,33799.93478,1,15,3,1,47,65.3,2,2,2,4,2
7641,1977,38,2,0,5,18226.42589,3,6,2,1,48,24.2,2,3,2,4,2
7646,1977,43,1,0,5,18226.42589,1,9,2,1,27,14,2,2,2,3,3
7657,1977,34,2,3,6,58577.86692,1,16,2,1,61,80.9,3,1,2,4,3
7661,1977,30,2,1,6,33799.93478,1,12,2,1,32,13.2,3,2,2,4,2
7663,1977,21,2,1,6,10335.4311,5,12,2,1,47,47.9,2,1,2,1,3
7664,1977,31,2,1,6,10335.4311,3,12,2,1,24,20.7,2,1,1,4,3
7667,1977,53,2,0,6,23469.7157,1,5,2,1,33,13.6,2,1,1,4,1
7668,1977,42,1,0,6,18226.42589,1,5,2,1,28,25.2,5,3,2,3,1
7669,1977,57,2,1,6,28582.70506,1,12,3,1,40,33.4,3,1,2,4,3
7671,1977,22,2,1,2,28926.57783,5,12,2,1,27,12.7,3,2,2,2,2
7673,1977,26,2,1,6,23469.7157,1,13,2,1,47,38.8,3,1,1,4,2
7674,1977,50,1,1,6,46939.4314,1,12,2,1,25,23.3,1,3,2,3,1
7678,1977,32,2,1,7,58577.86692,3,12,2,1,31,12.4,3,2,1,2,3
7680,1977,26,2,3,7,85914.89975,5,16,2,1,61,80.9,3,2,2,3,1
7681,1977,33,2,0,7,33799.93478,4,11,2,1,33,13.6,3,2,2,3,2
7683,1977,54,2,0,2,18445.70435,2,10,2,1,22,14.8,1,3,1,3,2
7684,1977,47,1,0,7,46939.4314,1,7,2,1,36,30.8,3,2,2,2,2
7689,1977,46,1,4,7,85914.89975,1,20,3,1,64,82.5,2,2,2,4,1
7690,1977,48,1,4,7,58577.86692,1,19,3,1,64,82.5,3,2,2,3,1
7691,1977,26,1,1,7,33799.93478,5,14,2,1,46,39.9,3,1,1,4,3
7694,1977,47,2,0,2,2289.229536,1,8,3,1,31,19.6,3,2,2,1,1
7696,1977,22,1,0,7,46939.4314,1,11,2,1,38,28.4,3,2,2,1,2
7699,1977,59,1,3,7,110755.3761,1,17,3,1,59,75.5,4,2,2,4,3
7702,1977,47,1,0,7,58577.86692,1,12,3,1,47,57.8,4,3,2,4,1
7705,1977,60,1,0,2,47504.15024,1,10,2,1,45,31.2,3,2,2,4,3
7708,1977,38,1,0,7,58577.86692,1,12,3,1,45,31.2,3,1,2,4,1
7711,1977,30,1,1,7,10335.4311,1,14,2,1,43,36.2,3,2,2,3,1
7712,1977,35,1,1,7,85914.89975,5,12,2,1,40,38.3,4,2,2,4,2
7716,1977,34,2,1,2,2289.229536,1,12,3,1,45,19.7,3,1,1,3,1
7717,1977,30,2,0,7,18226.42589,1,7,3,1,26,15.8,3,2,1,4,3
7718,1977,64,2,1,7,28582.70506,2,11,2,1,48,24.2,3,1,2,3,3
7720,1977,24,1,1,7,70456.05526,1,12,3,1,53,73.9,3,2,2,4,1
7721,1977,39,2,1,7,10335.4311,4,12,2,2,24,14.6,2,3,2,4,1
7725,1977,34,1,1,7,46939.4314,1,14,2,1,45,31.2,2,3,1,4,1
7727,1977,20,1,1,2,34206.57498,5,12,2,1,47,47.9,3,2,2,4,2
7728,1977,25,1,3,7,46939.4314,1,16,2,1,62,50.4,2,2,2,4,1
7731,1977,67,1,1,7,70456.05526,1,12,3,1,58,67.7,4,1,2,4,1
7732,1977,50,1,0,7,10335.4311,1,6,2,1,25,23.3,2,3,1,3,3
7735,1977,36,2,1,7,46939.4314,1,13,2,1,17,45.3,3,3,2,3,2
7738,1977,47,2,1,2,59282.60543,1,12,2,1,64,84.2,3,2,2,4,2
7746,1977,52,2,1,8,106006.9969,3,14,3,1,60,41.4,3,2,2,4,1
7750,1977,57,2,1,8,37228.16934,2,12,2,1,47,38.8,3,2,2,4,2
7754,1977,19,2,1,9,31481.77034,1,12,2,1,47,38.8,3,2,1,4,2
7755,1977,50,1,1,9,51700.36902,1,12,2,1,44,28.7,3,1,1,3,1
7758,1977,45,1,0,9,64519.25909,1,8,2,1,45,31.2,2,2,2,3,2
7764,1977,38,2,1,9,20075.08222,5,13,2,2,35,21.8,3,2,2,4,3
7765,1977,55,2,3,9,64519.25909,5,16,3,1,47,38.8,3,1,2,4,2
7766,1977,58,2,0,9,51700.36902,2,10,2,1,47,57.8,2,3,2,4,3
7767,1977,23,1,1,9,43095.12216,5,12,2,2,33,13.6,2,3,1,2,2
7768,1977,20,2,1,9,11383.72549,5,12,3,1,39,41,4,1,2,4,1
7774,1977,25,2,4,9,25850.18451,5,18,3,1,48,26.1,3,3,1,3,2
7775,1977,67,1,1,9,206445.5553,1,13,3,2,46,74.6,4,2,2,4,3
7778,1977,65,2,1,9,64519.25909,2,14,2,1,64,84.2,3,1,2,4,1
7781,1977,39,2,1,9,25850.18451,1,12,2,1,48,24.2,2,2,2,3,1
7783,1977,33,1,1,9,106006.9969,1,16,2,1,36,31.1,4,2,1,3,3
7786,1977,36,1,4,9,121988.9897,5,18,3,1,73,86.5,4,1,1,4,2
7790,1977,31,2,1,9,77602.21945,1,14,3,1,65,80.7,4,2,2,3,3
7792,1977,64,1,4,9,11383.72549,1,16,3,1,60,76.3,4,1,2,1,1
7793,1977,36,1,1,1,97403.02446,1,13,3,1,50,46.5,3,3,2,4,3
7796,1977,59,1,4,9,206445.5553,1,17,3,1,66,92,4,2,2,4,3
7800,1977,50,2,0,9,77602.21945,3,10,4,1,49,56.9,3,1,1,4,1
7802,1977,54,2,1,9,77602.21945,3,13,3,1,53,69.3,3,2,2,4,2
7803,1977,39,1,3,9,106006.9969,1,16,2,1,47,62.7,4,2,2,4,2
7805,1977,32,2,4,2,28926.57783,1,17,3,1,61,80.9,4,1,1,4,2
7809,1977,27,1,1,9,77602.21945,1,14,3,1,44,28.7,4,2,1,2,1
7810,1977,25,2,0,9,43095.12216,3,13,2,1,32,35.8,3,2,2,4,2
7811,1977,51,2,4,9,206445.5553,1,18,4,1,72,92.1,4,1,2,4,1
7816,1977,46,1,1,2,86948.52459,1,12,2,1,36,31.1,3,2,2,3,3
7818,1977,37,1,0,9,607826.6458,1,12,3,2,36,30.8,3,1,2,3,3
7820,1977,24,1,3,9,31481.77034,5,16,2,1,60,76.3,4,1,2,3,3
7821,1977,34,1,1,9,94629.01209,1,12,2,1,50,46.5,4,2,2,4,1
7824,1977,24,1,1,9,31481.77034,5,12,2,1,60,41.4,3,3,2,4,2
7825,1977,36,1,1,9,77602.21945,1,13,2,1,62,50.4,3,3,2,4,3
7827,1977,57,1,3,2,39597.34131,1,16,2,1,35,20.9,3,3,1,3,2
7828,1977,36,2,3,9,37228.16934,1,17,2,1,61,80.9,3,3,1,4,3
7834,1977,44,1,1,9,64519.25909,1,12,3,1,63,63.1,3,2,2,4,3
7836,1977,55,2,1,9,64519.25909,2,13,2,1,35,34.6,2,2,2,4,3
7837,1977,45,1,1,9,106006.9969,1,12,2,1,43,52.4,3,1,2,4,1
7838,1977,32,1,1,2,97403.02446,1,15,3,1,65,79.4,4,2,2,3,2
7839,1977,55,2,0,9,37228.16934,3,8,3,1,28,18.8,3,2,2,4,2
7841,1977,20,2,1,9,43095.12216,5,12,2,1,46,74.6,3,2,1,4,2
7842,1977,24,1,1,9,64519.25909,1,13,2,1,35,24,2,2,1,1,2
7843,1977,38,2,1,9,11383.72549,4,12,2,1,29,20.8,2,2,1,2,3
7844,1977,29,1,3,9,77602.21945,3,16,2,1,45,62.1,2,1,1,4,3
7846,1977,32,2,3,9,2491.44572,1,17,3,1,61,80.9,3,3,1,4,3
7848,1977,32,2,0,9,31481.77034,1,11,1,1,24,17.1,1,3,1,4,1
7850,1977,28,2,1,9,37228.16934,3,14,3,1,47,38.8,2,3,1,4,1
7852,1977,63,2,1,9,11383.72549,4,12,3,1,36,24.6,2,2,2,3,3
7853,1977,40,1,1,9,121988.9897,1,13,2,1,43,36.2,3,2,2,3,2
7854,1977,28,1,1,9,94629.01209,1,12,2,1,35,32,3,3,2,4,2
7856,1977,37,1,2,9,206445.5553,1,14,3,1,65,79.4,4,1,2,4,3
7859,1977,21,1,0,9,31481.77034,1,10,2,1,25,23.3,4,1,1,4,1
7860,1977,20,1,1,3,37528.77029,5,12,3,1,35,23.7,3,1,2,4,2
7863,1977,56,1,1,2,97403.02446,1,12,2,1,35,25,3,2,2,4,3
7866,1977,30,1,3,2,86948.52459,1,16,2,1,60,76.3,4,2,2,4,2
7870,1977,20,1,0,2,39597.34131,1,8,2,1,39,24.6,3,2,1,4,2
7872,1977,22,2,1,2,2289.229536,5,12,2,1,37,35.1,1,3,2,3,1
7874,1977,23,2,1,2,39597.34131,5,12,3,1,32,35.8,3,1,2,4,2
7876,1977,23,1,1,3,56185.67328,5,12,2,1,25,23.3,3,3,1,4,3
7879,1977,44,2,0,3,37528.77029,2,11,2,1,30,20.5,3,2,1,4,3
7880,1977,43,1,0,3,82406.3207,1,10,2,1,47,38.8,3,2,2,3,3
7881,1977,20,1,1,3,27415.44908,5,12,2,1,27,27.7,3,2,2,4,3
7883,1977,22,1,1,3,82406.3207,1,12,2,1,38,42.8,3,2,1,4,3
7886,1977,27,1,2,3,32419.6184,1,17,2,1,74,84.5,2,2,1,4,2
7887,1977,40,2,0,3,9913.354401,1,11,2,1,35,31.6,3,2,2,3,3
7888,1977,27,1,1,3,27415.44908,1,12,2,1,34,34.7,2,3,1,4,2
7891,1977,41,1,1,3,45022.52634,1,10,2,1,63,63.1,3,1,1,4,2
7892,1977,33,1,1,3,45022.52634,1,12,2,1,35,32,3,2,1,2,2
7898,1977,57,2,1,3,27415.44908,1,12,2,1,35,26.8,2,2,2,4,3
7899,1977,24,1,1,3,118730.291,1,12,2,1,49,46,3,3,1,3,2
7901,1977,26,2,1,3,45022.52634,5,15,2,1,64,84.2,3,1,2,4,1
7903,1977,22,2,1,3,32419.6184,1,12,2,1,35,25,3,1,2,3,3
7905,1977,27,2,1,3,32419.6184,5,13,2,1,24,34.8,3,2,1,4,2
7907,1977,45,1,1,3,56185.67328,1,12,3,1,35,26.8,3,1,2,4,2
7908,1977,33,2,1,3,27415.44908,1,12,2,1,39,20.8,3,2,2,4,2
7909,1977,40,1,3,3,92314.67593,1,16,3,1,70,86.1,3,2,2,3,1
7911,1977,49,1,1,3,56185.67328,1,12,1,1,38,42.8,2,3,2,4,3
7917,1977,31,2,1,3,17482.098,1,12,3,1,50,32.6,3,1,1,4,3
7918,1977,19,2,1,3,9913.354401,5,12,3,1,31,19.6,3,1,1,3,3
7919,1977,42,1,1,3,67578.78204,1,12,2,1,50,46.5,3,1,2,4,2
7920,1977,45,1,0,3,67578.78204,1,10,3,1,63,81.6,4,1,2,4,1
7921,1977,58,2,1,3,37528.77029,1,15,2,1,64,84.2,4,1,2,4,1
7922,1977,46,1,0,3,67578.78204,1,10,2,1,40,35.8,3,1,2,2,3
7923,1977,58,1,0,3,82406.3207,2,8,3,1,38,28.4,3,1,2,4,3
7928,1977,22,2,2,3,32419.6184,5,14,2,1,47,38.8,3,1,1,4,3
7931,1977,48,1,1,3,67578.78204,1,12,2,1,24,17.1,2,2,2,3,3
7932,1977,38,2,1,3,22511.26317,3,12,3,1,47,38.8,3,2,2,4,2
7933,1977,59,1,1,3,67578.78204,1,12,2,1,40,35.8,3,1,2,3,3
7935,1977,54,1,1,3,67578.78204,1,13,2,1,38,28.4,3,1,1,2,3
7939,1977,62,2,1,3,32419.6184,1,14,2,1,69,46.6,2,2,2,4,3
7940,1977,40,1,1,3,67578.78204,1,12,2,1,46,51.9,3,1,2,4,1
7942,1977,50,2,1,3,27415.44908,1,12,2,1,38,25.7,2,2,2,4,2
7944,1977,28,1,0,5,33799.93478,1,10,2,1,22,14.8,3,2,2,3,2
7945,1977,34,2,0,5,18226.42589,1,10,2,1,32,13.2,2,2,1,2,3
7947,1977,42,1,0,5,46939.4314,1,9,2,1,24,20.7,2,2,1,3,3
7948,1977,33,2,0,5,18226.42589,1,6,3,1,32,26.2,4,3,2,4,1
7949,1977,24,2,1,3,67578.78204,5,13,2,1,64,84.2,4,1,2,3,2
7950,1977,55,2,0,5,10335.4311,1,10,2,1,31,19.6,2,3,2,4,1
7951,1977,35,1,1,5,39126.61687,1,11,2,1,27,27.7,3,2,1,3,3
7953,1977,42,2,0,5,28582.70506,3,10,1,1,27,27.7,2,1,1,2,3
7954,1977,27,2,1,5,18226.42589,3,12,2,1,31,21.1,1,3,2,4,3
7955,1977,24,1,0,5,23469.7157,4,9,2,1,28,25.2,2,1,2,4,3
7956,1977,41,1,0,5,58577.86692,1,7,2,1,48,35.2,3,3,1,4,3
7957,1977,34,1,1,5,23469.7157,1,12,2,1,50,57.4,2,2,1,2,3
7959,1977,26,1,1,5,10335.4311,1,12,2,1,34,17,1,3,1,4,3
7961,1977,42,1,0,5,46939.4314,1,10,2,1,35,25,3,2,2,4,2
7964,1977,33,1,1,7,96245.11883,1,12,2,1,33,46.6,3,2,2,3,3
7965,1977,44,2,1,7,23469.7157,1,12,2,1,45,38.3,4,1,2,3,2
7966,1977,36,1,1,7,96245.11883,1,15,3,1,31,48.8,4,1,2,4,2
7969,1977,36,1,1,7,58577.86692,1,12,2,1,49,45.4,3,3,1,3,3
7970,1977,32,1,0,7,33799.93478,1,8,2,1,38,28.4,2,2,2,4,1
7972,1977,21,2,1,7,23469.7157,1,13,3,1,31,39.7,3,1,2,4,2
7977,1977,33,1,0,6,23469.7157,1,11,3,1,35,24,2,1,2,3,1
7979,1977,21,2,1,6,10335.4311,5,12,3,1,45,38.3,3,2,1,4,2
7981,1977,54,1,0,6,18226.42589,5,0,2,1,44,28.7,3,1,1,4,2
7983,1977,42,1,0,6,85914.89975,1,8,2,1,42,31,4,1,1,2,3
7984,1977,41,1,2,6,85914.89975,1,14,3,1,31,39.7,4,1,2,4,2
7985,1977,31,2,4,6,18226.42589,1,17,3,1,31,39.7,4,2,2,3,2
7986,1977,28,1,1,6,58577.86692,1,12,2,1,35,32,3,3,1,4,1
7987,1977,38,2,4,6,70456.05526,1,17,3,1,61,80.9,3,1,2,4,1
7988,1977,26,1,4,6,46939.4314,1,18,2,2,64,91.9,4,2,1,4,2
7989,1977,23,2,1,6,18226.42589,1,11,2,1,33,44.9,2,3,1,1,2
7990,1977,58,2,0,6,28582.70506,2,6,2,1,22,14.8,3,1,2,3,3
7991,1977,41,1,1,6,70456.05526,1,12,2,1,35,32,3,2,2,4,3
7992,1977,45,1,0,6,46939.4314,1,8,2,1,35,23.7,3,3,2,4,2
7993,1977,30,1,0,3,45022.52634,1,6,2,2,44,28.7,2,2,2,3,2
7994,1977,43,2,0,6,28582.70506,1,8,2,1,42,26.5,2,3,2,2,3
7995,1977,47,1,0,6,70456.05526,3,8,2,1,35,32,2,3,2,4,2
7996,1977,52,2,1,6,33799.93478,1,12,2,1,32,13.2,3,1,2,4,3
7997,1977,28,1,1,6,58577.86692,1,12,3,1,32,26.2,3,2,2,4,1
7999,1977,22,1,1,8,2491.44572,5,13,3,1,30,36.7,3,1,1,3,2
8003,1977,26,2,0,8,25850.18451,1,11,3,1,53,69.3,3,2,1,3,2
8004,1977,21,2,1,3,9913.354401,5,13,2,1,31,19.6,1,3,1,4,3
8007,1977,28,2,1,8,11383.72549,1,12,3,1,31,39.7,3,2,2,4,2
8008,1977,53,1,1,8,121988.9897,1,12,1,1,53,69.3,3,1,2,3,3
8009,1977,40,2,1,8,64519.25909,1,12,2,1,40,49.4,3,1,2,3,3
8010,1977,66,1,1,8,94629.01209,1,12,3,1,50,46.5,4,1,2,4,3
8014,1977,41,1,1,8,94629.01209,1,12,2,1,46,39.9,3,2,2,4,3
8015,1977,57,2,1,1,71303.69786,5,12,3,1,53,69.3,3,2,2,4,3
8019,1977,21,1,1,8,11383.72549,5,12,2,1,22,17.5,3,2,1,2,3
8020,1977,46,2,1,8,25850.18451,1,13,3,1,37,35.1,3,3,2,4,1
8021,1977,45,2,0,8,2491.44572,1,11,3,1,35,31.6,4,3,1,4,3
8022,1977,49,2,1,8,31481.77034,1,12,2,1,40,33.4,3,2,2,4,1
8033,1977,33,2,1,9,37228.16934,1,14,3,1,47,38.8,5,2,2,3,1
8038,1977,27,1,4,3,56185.67328,5,16,3,1,72,86.6,4,2,2,4,2
8041,1977,49,1,0,3,56185.67328,1,8,2,1,45,38.8,2,2,2,3,3
8044,1977,39,2,1,3,56185.67328,1,12,3,1,46,52,3,2,1,4,3
8046,1977,34,2,1,3,22511.26317,5,12,2,1,48,24.2,1,2,1,4,2
8048,1977,39,1,0,3,56185.67328,3,8,2,1,29,20.8,3,3,1,4,3
8050,1977,24,2,1,3,56185.67328,1,12,2,1,39,38.1,3,3,1,3,3
8055,1977,20,2,1,3,9913.354401,5,12,2,1,50,38.3,3,2,1,4,2
8057,1977,49,1,3,3,179780.1568,1,16,3,1,65,85.2,4,2,2,4,1
8059,1977,36,1,3,3,82406.3207,1,16,2,1,59,77.7,3,2,2,4,2
8061,1977,52,1,0,4,82406.3207,1,8,2,1,24,21,3,1,2,4,2
8064,1977,50,1,1,4,45022.52634,1,12,2,1,36,31.1,3,2,2,4,3
8065,1977,27,2,1,4,9913.354401,1,12,2,1,31,19.6,2,2,2,3,2
8067,1977,24,1,1,4,56185.67328,1,12,3,1,42,35.3,3,2,2,4,2
8069,1977,24,1,0,4,32419.6184,1,11,2,1,40,28.3,2,3,1,3,2
8070,1977,55,1,1,4,56185.67328,1,12,2,1,46,39.9,1,3,2,2,1
8078,1977,56,1,0,4,179780.1568,1,8,2,1,46,39.9,3,1,2,4,1
8079,1977,22,2,1,5,10335.4311,1,12,2,1,48,26.1,3,2,1,4,2
8083,1977,32,1,4,5,70456.05526,1,16,2,1,61,80.9,3,1,2,4,3
8084,1977,49,2,0,5,10335.4311,2,7,2,1,31,19.6,2,1,1,4,1
8085,1977,26,1,1,5,85914.89975,1,12,2,1,36,36.7,3,1,2,3,1
8086,1977,59,2,1,5,39126.61687,3,12,3,1,60,65.3,2,3,2,4,3
8090,1977,53,1,0,5,187434.5805,1,7,2,1,45,46.6,3,1,2,3,1
8092,1977,58,1,1,5,58577.86692,5,12,2,1,18,29.4,3,1,2,3,3
8096,1977,22,1,1,5,85914.89975,1,12,2,1,42,31,3,1,1,3,1
8098,1977,43,1,0,5,46939.4314,1,5,2,1,33,29.9,2,3,2,4,3
8102,1977,57,2,0,5,39126.61687,2,7,2,1,24,17.1,3,2,2,4,3
8103,1977,56,2,4,5,70456.05526,1,17,3,1,64,82.5,4,1,2,4,3
8106,1977,22,1,0,5,23469.7157,1,8,3,1,27,14,3,1,1,4,3
8107,1977,41,2,1,5,23469.7157,1,12,2,1,29,9,3,2,2,4,2
8108,1977,35,1,0,5,46939.4314,1,7,2,1,27,14,3,1,2,3,3
8109,1977,53,2,0,5,39126.61687,2,7,2,1,32,13.2,2,1,2,3,3
8110,1977,53,2,0,5,39126.61687,1,8,2,1,25,23.8,3,2,2,4,1
8112,1977,21,2,2,5,18226.42589,1,14,3,1,35,26.8,3,3,2,4,3
8113,1977,33,1,1,5,39126.61687,1,14,3,1,50,68.6,3,2,1,3,3
8114,1977,54,1,0,5,85914.89975,1,10,3,1,38,52.1,3,1,2,4,3
8116,1977,36,1,1,5,123785.4204,1,12,2,1,35,32,3,1,1,4,3
8120,1977,24,1,0,5,10335.4311,1,9,2,1,40,22.9,2,1,2,4,2
8121,1977,42,1,0,5,2262.015681,1,8,2,1,46,39.9,2,1,2,4,3
8123,1977,23,1,0,5,10335.4311,1,11,2,1,28,18.8,3,2,2,4,3
8124,1977,32,1,0,5,58577.86692,4,9,2,1,38,28.4,2,2,2,4,1
8126,1977,23,1,3,1,23752.07512,5,16,3,1,73,86.5,3,2,1,3,2
8131,1977,54,2,3,5,58577.86692,1,16,3,1,64,82.5,4,3,2,3,2
8139,1977,28,2,1,5,23469.7157,4,12,2,1,32,13.2,2,2,1,3,2
8141,1977,41,2,1,5,39126.61687,1,12,2,1,38,52.1,4,2,2,3,3
8142,1977,52,2,0,5,10335.4311,4,6,1,1,27,14,1,3,1,1,3
8143,1977,52,2,1,5,18226.42589,1,12,3,1,45,38.3,3,1,2,4,3
8145,1977,63,1,0,5,33799.93478,1,3,2,1,46,39.9,3,2,2,4,3
8148,1977,45,1,0,5,39126.61687,2,8,2,1,35,20.9,3,2,2,3,2
8149,1977,42,1,1,3,56185.67328,1,12,3,1,44,28.7,3,3,1,2,3
8150,1977,28,2,0,5,18226.42589,1,10,2,1,48,24.2,2,1,2,2,3
8151,1977,36,1,0,5,46939.4314,1,10,2,1,31,23,3,1,2,3,2
8152,1977,44,2,4,5,58577.86692,1,16,3,1,64,82.5,4,3,2,4,2
8153,1977,57,2,1,5,28582.70506,2,12,2,1,31,39.7,2,2,1,4,3
8155,1977,61,1,0,5,39126.61687,1,10,2,1,34,34.7,2,2,2,4,2
8157,1977,61,2,4,5,58577.86692,1,17,3,1,38,59.1,4,1,2,4,1
8158,1977,45,2,1,5,33799.93478,1,12,3,1,39,67.7,3,1,2,4,2
8161,1977,28,1,4,5,85914.89975,1,16,3,1,69,91.1,4,1,2,4,1
8164,1977,68,2,1,3,17482.098,3,12,2,1,28,21.6,2,2,2,4,3
8170,1977,32,2,1,3,45022.52634,1,12,2,2,48,24.2,1,3,1,4,2
8175,1977,51,1,1,3,67578.78204,1,12,2,1,35,42.9,2,2,2,4,3
8179,1977,35,1,3,1,59282.60543,4,16,3,1,60,76.3,4,2,1,4,2
8180,1977,49,1,4,3,179780.1568,1,20,3,2,74,84.5,4,1,2,4,2
8182,1977,22,2,1,3,9913.354401,1,13,1,1,44,43.8,2,3,1,1,1
8183,1977,49,2,4,3,118730.291,1,18,2,1,59,75.5,4,2,2,4,3
8184,1977,59,2,3,3,82406.3207,5,16,3,1,64,82.5,3,1,2,3,1
8188,1977,53,2,1,3,106232.3656,1,12,2,1,46,52,3,2,2,4,2
8190,1977,22,2,1,1,2289.229536,5,15,2,1,33,44.9,3,3,2,3,2
8192,1977,46,1,1,3,179780.1568,1,12,3,1,39,38.1,3,1,2,4,1
8195,1977,49,1,1,3,179780.1568,1,12,3,1,48,35.2,4,2,1,3,3
8197,1977,36,1,1,3,82406.3207,1,12,2,1,74,84.5,3,3,1,4,1
8198,1977,46,2,1,3,32419.6184,1,13,3,1,47,38.8,3,2,1,4,2
8199,1977,39,1,1,3,106232.3656,1,12,3,1,31,39.7,3,2,2,3,2
8202,1977,48,1,1,3,106232.3656,1,12,3,1,28,18.8,3,2,2,4,1
8208,1977,44,1,1,3,106232.3656,1,8,2,1,27,27.7,3,1,2,3,1
8210,1977,26,2,1,3,37528.77029,5,14,3,2,18,29.4,2,2,1,4,3
8211,1977,24,1,1,3,67578.78204,5,13,3,1,45,31.2,4,2,2,4,1
8212,1977,31,2,0,1,47504.15024,5,4,2,2,32,35.8,3,2,2,4,3
8215,1977,41,1,3,3,82406.3207,1,16,2,1,29,20,3,2,2,4,3
8216,1977,30,2,3,3,56185.67328,4,17,3,1,64,82.5,3,2,2,4,3
8217,1977,30,2,1,3,45022.52634,3,12,3,1,45,62,3,2,2,3,1
8218,1977,45,1,1,3,82406.3207,2,12,2,1,35,32,4,2,2,4,2
8219,1977,33,2,2,3,2169.639844,1,14,3,2,74,84.5,4,1,2,1,1
8220,1977,59,1,0,3,92314.67593,1,9,2,1,44,28.7,3,2,1,3,2
8221,1977,21,1,1,3,22511.26317,5,12,3,1,23,25.4,3,1,1,4,2
8223,1977,20,2,1,3,9913.354401,5,12,2,1,24,20.7,3,2,1,1,3
8225,1977,44,1,1,3,179780.1568,1,12,3,1,48,35.2,4,1,2,3,2
8226,1977,28,2,1,3,9913.354401,1,12,3,1,37,32.6,3,2,2,1,2
8227,1977,44,1,1,3,179780.1568,1,12,3,1,43,52.4,4,1,1,4,3
8228,1977,53,2,1,4,45022.52634,1,12,2,2,55,61.4,3,2,2,4,2
8229,1977,25,2,1,4,45022.52634,5,14,2,1,50,57.4,2,2,1,3,3
8230,1977,34,1,4,4,92314.67593,1,18,3,1,61,80.9,4,1,2,4,3
8231,1977,34,1,1,4,118730.291,1,14,3,1,30,29.6,4,2,2,4,2
8235,1977,45,2,1,1,28926.57783,1,12,2,1,28,21.6,2,3,2,2,3
